TSLA,0.192,312.50
APHEX,67.75,18.11
BOTZ,105.00,33.24
PAVE,27.00,44.93
BSCX,156.00,20.85
QQQM,19.00,211.11
EQAL,40.00,50.58
IVV,6.00,600.72
JGVVX,180.65,45.33
JMEE,31.00,64.71
LOGVX,1098.62,2.44
MIEIX,93.53,34.98
COWZ,20.00,59.86
VT,27.00,120.66
DOGE,173.55,0.16
RFITX,9876.62,22.04
LOGVX,3.01,2.47
RFITX,9.695,22.36
APHEX,0.80,17.95
JGVVX,9.79,44.00
RFITX,10.003,21.67
MIEIX,1.34,34.71
RFITX,352.091,21.28
RFITX,10.372,20.90
LOGVX,5.42,2.41
RFITX,10.23,21.19
RFITX,10.04,21.59
LOGVX,5.58,2.42
RFITX,9.939,21.81
RFITX,194.934,21.55
LOGVX,5.29,2.46
RFITX,10.585,20.48
RFITX,10.351,20.94
RFITX,-0.797,20.70
LOGVX,5.46,2.44
JEPI,38.00,52.17
RFITX,11.464,19.57
RFITX,20.50,10.95
LOGVX,5.556,2.41
RFITX,10.648,21.07
RFITX,10.335,21.71
LOGVX,5.529,2.40
RFITX,10.084,22.25
RFITX,10.052,22.32
RFITX,10.052,22.32
VOO,0.18,567.20
LOGVX,5.39,2.44
RFITX,9.736,23.12
RFITX,9.658,23.23
RFITX,9.64,23.28
LOGVX,5.51,2.43
RFITX,9.46,23.71
RFITX,9.44,23.78
LOGVX,5.47,2.45
RFITX,9.28,24.18
RFITX,9.20,24.39
LOGVX,5.43,2.47
